Bid Item Category,Bid Item Num,Bid Item Number,Bid Item Description,Quantity,UOM
201,0,201-00000,Clearing and Grubbing,0,L S
201,1,201-00001,Clearing and Grubbing,0,ACRE
201,2,201-00002,Clearing,0,L S
201,5,201-00005,Removal of Debris,0,L S
201,10,201-00010,Clearing,0,LS
201,816,201-00816,Reset Sign Panel (Special),0,EACH
202,0,202-00000,Removal of Structures and Obstructions,0,L S
202,1,202-00001,Removal of Structure,0,EACH
202,2,202-00002,Removal of Structure (Special),0,EACH
202,3,202-00003,Removal of Structure (Special),0,L S
202,4,202-00004,Removal of Steel H or Pipe Piling,0,LF
202,5,202-00005,Removal of Temporary Supports,0,L S
202,6,202-00006,Removal of Temporary Supports,0,EACH
202,8,202-00008,Tree Trimming,0,HOUR
202,9,202-00009,Tree Trimming,0,L S
202,10,202-00010,Removal of Tree,0,EACH
202,11,202-00011,Tree Trimming,0,EACH
202,12,202-00012,Removal of Tree Stump,0,EACH
202,13,202-00013,Removal of Erosion Mat,0,SY
202,14,202-00014,Brush Clearing,0,HOUR
202,15,202-00015,Removal of Headwall,0,EACH
202,16,202-00016,Removal of Tree Support,0,EACH
202,19,202-00019,Removal of Inlet,5,EACH
202,20,202-00020,Removal of Concrete Box Culvert,0,EACH
202,21,202-00021,Removal of Manhole,0,EACH
202,22,202-00022,Removal of Headgate,0,EACH
202,23,202-00023,Removal of Embankment Protector Type 3,0,EACH
202,24,202-00024,Removal of Embankment Protector Type 5,0,EACH
202,25,202-00025,Removal of Ditch Lining,0,LF
202,26,202-00026,Removal of Slope and Ditch Paving,0,SY
202,27,202-00027,Removal of Riprap,0,SY
202,29,202-00029,Removal of Gabion,0,CY
202,30,202-00030,Removal of Water Service,0,EACH
202,31,202-00031,Removal of Fire Hydrant,0,EACH
202,32,202-00032,Removal of Valve,0,EACH
202,33,202-00033,Removal of Pipe,0,EACH
202,35,202-00035,Removal of Pipe,0,LF
202,36,202-00036,Removal of Pipe (Special),0,LF
202,37,202-00037,Removal of End Section,0,EACH
202,38,202-00038,Removal of Structural Plate Pipe,0,LF
202,39,202-00039,Removal of Bollard,0,EACH
202,40,202-00040,Removal of Electrical Conduit,0,LF
202,45,202-00045,Removal of Electrical Equipment,0,LF
202,47,202-00047,Removal of Electrical Equipment,0,L S
202,50,202-00050,Removal of ITS Node Equipment,0,L S
202,55,202-00055,Removal of Fiber Optic Cable,0,LF
202,60,202-00060,Removal of Travel Time Indicator,0,EACH
202,70,202-00070,Removal of Barricade,0,EACH
